baseline,набор,precision,recall,f1,fpr,n,заметка
flawfinder,eval150,0.6429,0.1957,0.3,0.0481,150,предсказание = any_hit (хотя бы один хит любого уровня)
flawfinder,full,0.1148,0.1668,0.136,0.0762,18864,"предсказание = any_hit; весь корпус, впервые возможно при 100% покрытии v4"
триаж (сигнатурный),full,0.1382,0.0919,0.1104,0.034,18864,"предсказание = risk_level != 'none'; было посчитано и раньше (весь корпус без разметки не мешал: у триажа лейблы не нужны для прогона, только для метрики)"
триаж (сигнатурный),eval150,0.7,0.1522,0.25,0.0288,150,предсказание = risk_level != 'none'
logreg TF-IDF (порог 0.5),eval150,0.6087,0.3043,0.4058,0.0865,150,"threshold=0.5000; фиксированный, без подбора"
logreg TF-IDF (откалиброванный порог),eval150,0.7692,0.2174,0.339,0.0288,150,"threshold=0.5943; train pool = corpus минус eval150 (v4-лейблы), порог подобран 5-fold CV на train pool (eval150 не участвует)"
logreg TF-IDF (порог 0.5),full,0.2647,0.3981,0.3179,0.0655,18864,"threshold=0.5000; 5-fold StratifiedKFold OOF по всему корпусу (18864), каждый фрагмент предсказан моделью, его не видевшей при обучении; фиксированный, без подбора"
logreg TF-IDF (откалиброванный порог),full,0.3083,0.3422,0.3243,0.0455,18864,"threshold=0.5583; 5-fold StratifiedKFold OOF по всему корпусу (18864), каждый фрагмент предсказан моделью, его не видевшей при обучении; порог подобран максимизацией F1 на ЭТИХ ЖЕ OOF-вероятностях (см. докстринг файла — единственное место с мягкой оптимистичностью)"
